gene,Mesen_EndoStromalFib_MenstrualEutopic,Mesen_EndoStromalFib_Prolif,Mesen_EndoStromalFib_eSec,Mesen_EndoStromalFib_lSec,Mesen_EndoStromalFib_mSec,Mesen_MyoFib
ENSG00000121410,0.0,0.0435176139302338,0.086024706057449,0.1684648294140905,0.0,0.0
ENSG00000268895,0.0826391471240613,0.013821044767542,0.0,0.0216105550500454,0.0,0.0
ENSG00000175899,0.6424377717443125,0.0,0.0,0.5373123182741413,0.0,0.0887139454882244
ENSG00000245105,0.0,0.3620646421129421,0.1901582294386865,0.0,0.0,0.0
ENSG00000166535,0.3141179534815986,0.0480288489167289,0.0,0.0,0.0892857142857142,0.0
ENSG00000256661,0.282087927226938,0.3561916425358311,0.0,0.0,0.0,0.0
ENSG00000184389,0.7104731828379762,0.0,0.0641665687771643,0.0,0.0,0.0
ENSG00000128274,0.6461554427106011,0.0,0.0882390033141752,0.0,0.0,0.3380746239179905
ENSG00000118017,0.0,0.0,0.4074232739257003,0.0,0.6400921545892464,0.0
ENSG00000094914,0.0909413000633791,0.0385322682604448,0.429214619153596,0.0,0.0,0.0
ENSG00000081760,0.0,0.0241365438767886,0.0,0.0,0.0027472527472527,0.0
ENSG00000114771,0.0,0.4266318202716526,0.0,0.2193910151700918,0.0,0.0
ENSG00000197953,0.0,0.5759385018865811,0.0,0.0,0.0,0.0
ENSG00000242908,0.0,0.6320864227187016,0.0,0.0,0.0,0.0
ENSG00000204518,0.0,0.0,0.0,0.7180000195233801,0.3929275936137387,0.0
ENSG00000109576,0.0,0.2013509398268773,0.1130968758485033,0.0,0.0,0.0
ENSG00000103591,0.0931848677928906,0.2284264013371457,0.0,0.0,0.0,0.0
ENSG00000115977,0.2544123223210108,0.1200159178186319,0.0,0.0,0.0,0.0
ENSG00000087884,0.0741583648230848,0.049264410091374,0.1072332192290519,0.0,0.0,0.0098571050542471
ENSG00000127837,0.0,0.0,0.3362535743071884,0.2687007446895174,0.0,0.0
ENSG00000129673,0.0,0.2682084892506264,0.0,0.0,0.0,0.022983114446529
ENSG00000131043,0.0,0.0511752198149531,0.2428748082981462,0.0,0.0,0.0
ENSG00000205002,0.0,0.2149818459009157,0.2446853824335781,0.0,0.0,0.0
ENSG00000090861,0.1946167879094466,0.0873656686397333,0.0447611251674356,0.0,0.0,0.1100158772161947
ENSG00000124608,0.0,0.1936762955833117,0.3125248814684339,0.0,0.0,0.0
ENSG00000266967,0.0,0.0858858686282397,0.0,0.0,0.0,0.0
ENSG00000157426,0.0,0.0897649560370093,0.0991104680833863,0.0,0.0,0.0
ENSG00000149313,0.0,0.0523533130279868,0.1853866477413434,0.0,0.0,0.0
ENSG00000008311,0.0,0.0,0.1535497297699025,0.4053317885474837,0.5719754382544657,0.0
ENSG00000215458,0.0,0.3004776000350142,0.0,0.0,0.0,0.0
ENSG00000275700,0.2403372632536231,0.0,0.0,0.0,0.0,0.0
ENSG00000181409,0.0,0.245795540309403,0.0,0.0,0.0,0.1091741377624047
ENSG00000281376,0.0682946387658469,0.0485747945520372,0.4382457202868958,0.0,0.0,0.0
ENSG00000183044,0.1005145352026624,0.0,0.0,0.0,0.0979925445196003,0.0
ENSG00000165029,0.3444518900855726,0.0,0.3945635127924868,0.0366989022485788,0.4231089876216335,0.005887801005557
ENSG00000154263,0.0,0.2042267685765185,0.0096910607306472,0.0,0.0,0.3373087049305457
ENSG00000144452,0.1537260075375461,0.4515616262610652,0.0,0.0,0.0,0.0
ENSG00000179869,0.0,0.0,0.0,0.2101608217645733,0.6767673285820144,0.0
ENSG00000107331,0.0,0.1169473018792023,0.5853534097523078,0.0,0.0,0.0
ENSG00000167972,0.443392625494301,0.3149557659266316,0.0,0.0,0.0,0.0
ENSG00000198691,0.0,0.2714695494538641,0.2902977137436108,0.0,0.0,0.0
ENSG00000154265,0.0,0.2568941173404863,0.0,0.0,0.0,0.0
ENSG00000154262,0.7157600724977907,0.0,0.0,0.0,0.0,0.5102395574793799
ENSG00000064687,0.0,0.0,0.068620105807257,0.0,0.1734917484151004,0.0
ENSG00000141338,0.2760263701406583,0.0,0.2510849475689606,0.1887533540022461,0.2431657976940887,0.8094481039012777
ENSG00000154258,0.7217497203761427,0.0,0.0,0.0,0.0,0.590909611867767
ENSG00000231749,0.8155457182092106,0.0,0.0,0.0,0.0,0.3816780769808292
ENSG00000085563,0.0,0.606323929072607,0.0,0.0,0.0,0.0
ENSG00000135776,0.0364620994603038,0.1698138135901896,0.0,0.0,0.0708502024291498,0.0
ENSG00000073734,0.3762573487104085,0.0,0.0,0.0,0.1612887095284501,0.0
ENSG00000005471,0.9488701253379414,0.1439428768461582,0.0,0.0,0.0,0.0
ENSG00000115657,0.0,0.0451410838457559,0.0478857267599026,0.0,0.0131578947368421,0.0
ENSG00000197150,0.3603809803435625,0.0992184357220849,0.0,0.0003184713375796,0.0,0.0
ENSG00000150967,0.0,0.3577594813021649,0.1549924815588001,0.0,0.0,0.0
ENSG00000103222,0.558527206938533,0.0393224527326015,0.0,0.0,0.0,0.0
ENSG00000124574,0.379618347781784,0.2173577854590778,0.0,0.0,0.0,0.0
ENSG00000121270,0.2142973133630253,0.0759870122406758,0.0,0.0,0.0,0.0
ENSG00000140798,0.7737010162235894,0.0,0.0,0.0,0.0,0.0
ENSG00000023839,0.4355124242917428,0.0,0.0857805708915775,0.0,0.1713878513078555,0.0
ENSG00000108846,0.4203986995973215,0.0,0.0,0.5382941782333053,0.4767329615392235,0.0
ENSG00000125257,0.3693022190554059,0.2154953405257673,0.0,0.0,0.0,0.0
ENSG00000114770,0.5808074620742387,0.0638756393310729,0.0,0.0,0.0,0.0
ENSG00000223882,0.6280431000381392,0.0,0.0,0.0,0.0,0.0
ENSG00000091262,0.0,0.398315332071925,0.2194632109130982,0.0,0.0,0.0
ENSG00000006071,0.0,0.0,0.5428722924749952,0.4867874047650269,0.7990171806717441,0.0
ENSG00000069431,0.0,0.0,0.0,0.6456939205399113,0.6616166249366611,0.0
ENSG00000173208,0.0,0.6536002739828598,0.0,0.0,0.0,0.0
ENSG00000117528,0.2487110568111057,0.096043330843055,0.0,0.0,0.0,0.0
ENSG00000119688,0.3099473400512921,0.1037153037181771,0.1686583865930024,0.0,0.0,0.0
ENSG00000164163,0.0,0.0110913165910005,0.0,0.0,0.0,0.0
ENSG00000204574,0.0,0.0200994195735877,0.0,0.0519061574596287,0.0,0.0
ENSG00000033050,0.0,0.0,0.0,0.2372315455125632,0.0,0.0
ENSG00000161204,0.0,0.0003017067984598,0.4722385877641279,0.059599636032757,0.0,0.0
ENSG00000160179,0.7513019370178575,0.0,0.0,0.0,0.0,0.5691047819082881
ENSG00000118777,0.0,0.6584962195465491,0.0,0.0,0.0,0.0
ENSG00000172350,0.0,0.2939088648410837,0.0,0.0,0.0,0.0
ENSG00000138075,0.0,0.0,0.4503095287548475,0.0,0.3430190939221298,0.0
ENSG00000143921,0.0,0.0,0.458127726692513,0.0,0.1535329593846324,0.0
ENSG00000143994,0.2132548420905469,0.151776735832723,0.1316521152509585,0.0,0.0,0.0
ENSG00000144827,0.2780902191894632,0.143871041894144,0.0630977098192206,0.0,0.0,0.0
ENSG00000106077,0.0,0.1198925349117866,0.1656306769610233,0.0,0.0,0.0
ENSG00000100997,0.0,0.0038934543991724,0.0263804137520464,0.0,0.0,0.0
ENSG00000131969,0.0,0.1150049861861446,0.0,0.0,0.1238432620011567,0.0
ENSG00000139826,0.2768058690596866,0.062812482041262,0.0,0.0,0.0,0.0
ENSG00000248487,0.0,0.0,0.4700627896439307,0.122695489213443,0.0,0.0
ENSG00000114779,0.0,0.0,0.4143254125403642,0.3513778979526445,0.0,0.0
ENSG00000168792,0.0,0.0500689615539336,0.0268706683895219,0.0,0.0,0.0
ENSG00000264031,0.0582123083061321,0.0253433710706281,0.0,0.0,0.1568911207976759,0.0
ENSG00000204427,0.0,0.0194672719958623,0.0066230093763952,0.349536953049168,0.0,0.0
ENSG00000129968,0.0,0.0028446640997643,0.3779411978356836,0.0706360759406443,0.0,0.0837523154273617
ENSG00000107362,0.3490364373689928,0.0,0.0,0.1516422628324945,0.0,0.0
ENSG00000136379,0.8255182313677015,0.0822797540371243,0.0,0.0,0.0,0.0
ENSG00000164074,0.4016585118265656,0.1887232983308042,0.0,0.0,0.0,0.0
ENSG00000140526,0.2441862127699943,0.0,0.5898504012067309,0.0,0.0,0.0
ENSG00000158201,0.0,0.0324693983104419,0.0,0.0,0.0,0.4904018622955799
ENSG00000100439,0.0,0.0,0.4974531075723174,0.2591521937170832,0.0,0.0
ENSG00000011198,0.2372172277856434,0.0,0.0445006697425212,0.3713467276119057,0.0,0.1248346123313045
ENSG00000163686,0.1857747648446802,0.0,0.0,0.0,0.2900297865054126,0.0
ENSG00000127220,0.122688440301418,0.1823745761737831,0.0,0.0,0.0,0.1228499603069595
ENSG00000136754,0.2238789074344812,0.0008763864145738,0.0,0.0,0.0,0.0
ENSG00000138443,0.2835859326765734,0.3071669785011454,0.0,0.0,0.0,0.0
ENSG00000108798,0.8159254666863588,0.1027670823515889,0.0,0.0,0.0,0.0
ENSG00000154175,0.0,0.0,0.2782487424965052,0.4404893317841599,0.2551441730566451,0.0286451442180471
ENSG00000119328,0.0,0.1113872765932992,0.1637925017964085,0.0,0.0,0.0
ENSG00000097007,0.5105520549916333,0.1311135993067019,0.0,0.0,0.0,0.0
ENSG00000143322,0.4586525755654422,0.0129733923337739,0.0,0.0,0.0,0.0
ENSG00000099204,0.1696850120606137,0.0,0.1228386212050742,0.410558271815727,0.3133366441405359,0.0
ENSG00000163995,0.0285054223308385,0.0,0.0,0.3008406007765578,0.0722961249277038,0.0
ENSG00000173210,0.6720579226617557,0.0,0.0,0.0215195632393084,0.0,0.0
ENSG00000175164,0.0816944361421482,0.3177329730408338,0.0,0.0,0.0,0.0
ENSG00000159842,0.5673740112003899,0.0939888512154474,0.0,0.0,0.0,0.0
ENSG00000146386,0.675455842072483,0.2047152462502155,0.0,0.0,0.0,0.0
ENSG00000163322,0.0,0.1524768691454514,0.0159621967554695,0.0,0.0,0.0
ENSG00000165660,0.1517647583991807,0.1320326418021953,0.1883074015460486,0.0,0.0,0.0
ENSG00000146109,0.111100969723612,0.0351991264869835,0.1434098925105955,0.0388989990900818,0.0,0.0694628208520772
ENSG00000114626,0.2792550687975229,0.0,0.5509081317259812,0.1545430364313324,0.0,0.2543798223850714
ENSG00000166016,0.5052889860473404,0.0940606861674616,0.0,0.1508072881653374,0.0,0.0
ENSG00000260246,0.0,0.0191655651974024,0.7069727242854308,0.0,0.0,0.0
ENSG00000282816,0.0,0.0,0.8291199350563245,0.106960873521383,0.0,0.0
ENSG00000286742,0.0,0.4465607094410778,0.0314002403846153,0.0,0.0123626373626373,0.0
ENSG00000287932,0.0,0.313418034311293,0.3702781880386781,0.0,0.0,0.0
ENSG00000185065,0.0367152894455475,0.1518303545773231,0.2219796652913191,0.0,0.0,0.0
ENSG00000273212,0.0,0.4825669196018376,0.3939030527033036,0.0,0.0,0.0
ENSG00000273300,0.0,0.5822943812185155,0.0,0.0,0.0,0.0
ENSG00000287146,0.0,0.006522613642894,0.2035436423403723,0.0,0.0677414690572585,0.0
ENSG00000243107,0.0676047968885047,0.314500388009155,0.0,0.0,0.088128976286871,0.0
ENSG00000278727,0.0169543302275851,0.0901384977874834,0.0,0.0,0.0,0.1716467632248858
ENSG00000287702,0.1750756266205704,0.6489313711280953,0.0,0.0,0.0,0.0
ENSG00000237813,0.0,0.2850176588897199,0.0,0.0,0.0,0.0
ENSG00000233420,0.5910664664594656,0.0219527613355554,0.0,0.0,0.0,0.0
ENSG00000248636,0.3498048964340212,0.4054969145799112,0.0,0.0,0.0,0.0
ENSG00000285090,0.027425894970785,0.1511887052932286,0.0,0.0,0.0852371312897628,0.0
ENSG00000285964,0.1418793001511971,0.0,0.0,0.0,0.3558597381731056,0.0
ENSG00000234695,0.0,0.0,0.0,0.1513193812556869,0.0,0.8860809105826158
ENSG00000277450,0.4772252332036836,0.2009903859777795,0.0,0.0,0.0,0.0
ENSG00000267626,0.7434973502796997,0.105741049364979,0.0,0.0,0.0,0.0
ENSG00000267698,0.5094406008373734,0.218809504534784,0.0,0.0,0.0,0.0
ENSG00000268947,0.2515944437858347,0.2171219553166948,0.0,0.0,0.0161943319838056,0.0
ENSG00000235560,0.4458267150884233,0.0271967128325958,0.0,0.0,0.0,0.0
ENSG00000239791,0.5617300073567415,0.0367076604792828,0.0,0.0,0.0,0.0
ENSG00000225676,0.0,0.0,0.0,0.6384504265770448,0.1496484767325075,0.0514264698165704
ENSG00000267328,0.0,0.0,0.6899508368764782,0.7935234564400337,0.0,0.0
ENSG00000275025,0.0,0.2207031223797287,0.0,0.0,0.0,0.9613985134868251
ENSG00000276851,0.7978309271072024,0.0,0.0,0.0,0.0,0.0
