pathway,pval,padj,log2err,ES,NES,size,leadingEdge,qvalue
GOBP_RESPONSE_TO_STEROID_HORMONE,0.0215128451028989,0.787101220202315,0.352487857583619,0.762948189285687,1.56760429909881,103,BRCA1|CALCR|TP63|ACSBG1|GRM5|SKP2|HMGB1|EIF4E|NTRK3|PARP1|SLIT3|AKR1C3|PIAS2|SRD5A1|BMP6|NKX3-1|VPS18|GKN2|UGT1A8|MED1,0.787101220202315
GOBP_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION,0.0239434626153116,0.836003882087662,0.352487857583619,0.917142389027759,1.51584778867139,15,EIF4EBP1|PAIP2B|RBM4,0.836003882087662
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,0.0254329832493935,0.836003882087662,0.352487857583619,0.767345894655863,1.55617560592473,94,EXO1|JAG1|HMGB1|SNX6|MSH6,0.836003882087662
GOBP_TRANSCRIPTION_INITIATION_AT_RNA_POLYMERASE_II_PROMOTER,0.0269965942949738,0.849667005391271,0.352487857583619,0.772047913255617,1.58763686696143,102,GTF2A1L|HMGB1|ASH2L|DPY30|MED16|PPARGC1A|GTF2H5|HNF1A|CTCFL|BRD7|TAF1L|MED19|PPP2R1A,0.849667005391271
GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,0.0282430848642272,0.879441589336096,0.352487857583619,0.715458300418762,1.50991899113981,130,GTF2A1L|BRF2|HMGB1|ASH2L|MORC1|DPY30|MED16|GTF3C2|PPARGC1A|GTF2H5|HNF1A|CTCFL|BRD7|POLR3B|TAF1L|MED19|PPP2R1A,0.879441589336096
GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS,0.0288250583953371,0.888115220243703,0.352487857583619,0.697637684886332,1.51175251111515,176,DNA2|PIWIL1|CALCR|STK31|PABPN1L|IGF2BP3|ZAR1|REXO2|NSUN4|DAZL|FEN1|CNOT3|NANOS1|E2F1|MEIOC|CNOT4|ZC3H18|CNOT11,0.888115220243703
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,0.0298901287127437,0.902294827818929,0.352487857583619,0.906548890388951,1.49833891362861,15,BRCA1|TP63|PIAS2|VPS18,0.902294827818929
GOBP_PROTEIN_AUTOUBIQUITINATION,0.0299018101463738,0.902294827818929,0.352487857583619,0.862744444891549,1.55186099386196,29,RAD18|BRCA1|CNOT4,0.902294827818929
GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,0.0302559038869676,0.903663578338308,0.352487857583619,0.892619033568378,1.52635406496984,18,CHST13|BMPR1B|B3GNT4|HS3ST4,0.903663578338308
GOBP_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,0.0312149714742366,0.90452869972207,0.352487857583619,0.898319296072444,1.56747376272217,21,BRCA1|TP63|SKP2|PARP1|VPS18,0.90452869972207
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,0.0314752073755042,0.90452869972207,0.321775918075361,0.89027950666821,1.52235353813825,18,DPP10|NRXN1|PLS1|NECAB2,0.90452869972207
GOCC_REPLISOME,0.0351421126344038,0.9665315915012,0.321775918075361,0.881642913616167,1.50758520090061,18,PRIM1|MCM3|RPA1|POLD1|BCAS2,0.966531591501199
GOBP_MATERNAL_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY,0.0355423280556377,0.9665315915012,0.321775918075361,0.898509257269762,1.48505105317068,15,CSMD1|PARP2|PARP1|MED1,0.966531591501199
GOBP_TRANSLATION,0.0372670807453416,0.973935226264419,0.261663521711573,0.631706507701538,1.4286492379568,304,PIWIL1|CAPRIN2|IGF2BP3|MRPS31|YBX2|EIF4EBP1|ZAR1|RPL10L|PAIP2B|EIF4E|DAZL|METTL18|EEF1A2|CNOT3|MRPL44|NANOS1|MRPS18C|EFL1|BARHL2|MRPS17|NARS2|TRMT10C|MRPS10|MRPL22|CNOT11|EIF4E1B|EIF2A|CPEB1|CDK5RAP1|NEURL1|FARSB|EIF3M|EEF2K|EIF2B1|EIF4G2|MRPS2|MTRF1|C1QBP|EIF5B|IMPACT|NGDN|YTHDF1|TSFM|CNOT8,0.973935226264419
GOBP_IMMUNE_EFFECTOR_PROCESS,0.038159936405848,0.988443662477144,0.321775918075361,0.708782570375512,1.51799918780537,150,EXO1|OPA1|JAG1|HMGB1|DYSF|NKX2-3|SNX6|IRF5|MSH6|ZFPM1,0.988443662477144
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,0.0408083756813732,1,0.321775918075361,0.867412119653076,1.47232178211534,17,DPP10|NRXN1|PLS1|RAB38,1
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,0.0410798122065728,1,0.241339976815091,0.59451352783832,1.36236434413978,419,EBF3|TFAP2C|TP63|CHD7|NOBOX|ZNF479|ZNF143|DMRT1|ZNF534|ZNF816|BRF2|NKX2-6|KLF14|ZNF257|MYT1L|TCF15|NKX2-3|IRX2|FEZF2|ZNF416|DLX1|FOXP4|IRF5|SMC3|ZNF716|KLF5|NKX1-1|ZNF723|ZBTB39|HSF2|MIXL1|ZNF492|SP8|PRDM16|E2F1|NKX6-1|PKNOX2|ZNF136|SNAI3|HNF1A|CTCFL|SOX14|ZNF761|ZNF280B|ZNF677|LHX2|SKOR2|NKX3-1|RARB,1
GOBP_MEIOTIC_CELL_CYCLE,0.0420624151967436,1,0.257206466468838,0.665895041365839,1.45855666260294,190,EXO1|PIWIL1|EXD1|AURKC|SMC1B|DMRT1|FANCA|RPL10L|RBBP8|FMN2|RAD54B|FIGNL1|TUBGCP4|DAZL|KNL1|SMC3|MSH6|STAG3|RPA1|RNF212|ZW10|MEIOC|TERB1,1
GOBP_ICOSANOID_TRANSPORT,0.0436982585721825,1,0.321775918075361,0.863451412094434,1.47647823224837,18,SLCO4A1|PLA2G10|NOS2,1
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,0.0438152077582163,1,0.321775918075361,0.883260386196813,1.54119753084287,21,BRCA1|BMPR1B|RNF34|DEDD,1
GOBP_RESPONSE_TO_CORTICOSTEROID,0.0447227191413238,1,0.287857117255149,0.811514582650282,1.51121018812138,41,CALCR|ACSBG1|GRM5|HMGB1|EIF4E|NTRK3|PARP1|SLIT3|AKR1C3|SRD5A1|BMP6|GKN2|UGT1A8,1
GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX,0.0461760461760462,1,0.252961123069611,0.708855702317686,1.46533286523113,107,GTF2A1L|TCF15|MED16|E2F1|GTF2H5,1
GOBP_FEMALE_SEX_DIFFERENTIATION,0.0467128027681661,1,0.276500599254472,0.802305002724886,1.51052146491249,44,CSMD1|CHD7|BMPR1B|FANCA|ZFPM2|SLIT3|SRD5A1|BRCA2|BCAS2|DMRTA1|ROBO2,1
GOBP_REGULATION_OF_TRANSLATION,0.0468965517241379,1,0.245041785430996,0.665414021970849,1.44273652242821,179,PIWIL1|CAPRIN2|IGF2BP3|YBX2|EIF4EBP1|ZAR1|PAIP2B|EIF4E|DAZL|METTL18|CNOT3|NANOS1|BARHL2|TRMT10C|CNOT11|EIF4E1B|EIF2A|CPEB1|CDK5RAP1|NEURL1|EEF2K|EIF2B1|EIF4G2|C1QBP|EIF5B|IMPACT|NGDN|YTHDF1|CNOT8,1
GOBP_DNA_STRAND_ELONGATION,0.0469043151969981,1,0.287857117255149,0.841857937377764,1.50295929775455,28,DNA2|LIG1|MCM3|MCM4,1
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.0477855477855478,1,0.222056046145248,0.58566240719575,1.34283800247057,428,BRCA1|CAPRIN2|TFAP2C|TP63|CHD7|ZNF143|CDH13|BMPR1B|DMRT1|NKX2-6|KLF14|JAG1|MYT1L|MED12L|TCF15|HMGB1|NKX2-3|MKRN2|FEZF2|MED16|DLX1|EYA1|SALL4|IRF5|PARP1|KLF5|HSF2|MIXL1|PRDM16|ZFPM2|ZFPM1|E2F1|CHCHD2|LMO7|PPARGC1A|SMARCA2|NKX6-1|PKNOX2|BARHL2|HNF1A|CTCFL|SOX14|CCNT2|MAMSTR|BMP6|LHX2|NKX3-1|RARB,1
GOBP_NEGATIVE_REGULATION_OF_TRANSLATION,0.0488215488215488,1,0.266350657088526,0.781861458074695,1.49935963924532,58,CAPRIN2|IGF2BP3|EIF4EBP1|ZAR1|PAIP2B|EIF4E|NANOS1,1
GOBP_SYNAPTIC_VESICLE_LOCALIZATION,0.0494296577946768,1,0.282013350011725,0.862338894056077,1.50646310807437,22,SYN2|NRXN1|AP3B2,1
